X1,b0,rho_V,sd_V,alpha,iota,sigmaSE,br,N,mu_EI,mu_IR,rho_Y,S_0,E_0,I_0,R_0,eta,od_Y,loglik,loglik.se
34,0.190375647,156.0883435,3699.170982,1.084019887,0.246879369,1.193360312,6.104724136,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,-761.0397728,0.050229784
12,0.219972245,150.4323412,3527.102305,1.042086568,1.264334134,1.218663176,11.70076473,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,-761.0415951,0.062291104
NA,0.2538752005387809,151.49999999999994,3190.275750137068,1.0079739239596643,2.773798121394518,1.2798979543305735,8.722457993908366,50000,0.16000000000000003,0.13,0.13999999999999999,0.95,0.04000000000000001,0.010000000000000004,0,0.05000000000000001,0,-761.0429190599973,0.1242580295374443
1,0.252352644,152.2921852,3488.294467,1.01551324,1.646634551,1.231792458,6.493963153,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,-761.0453735,0.070694498
27,0.174415902,157.6217915,3800.006408,1.096994953,2.250975165,1.178269885,4.667424976,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,-761.0456279,0.055182558
NA,0.143558416,156,3489.442605,1.125865942,2.386685309,1.194829203,7.215552532,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,-761.0458271,0.24612625
NA,0.20828816210946416,148.5,3451.0749415687887,1.0544658972525385,0.6215638805535145,1.1241971089639342,14.351214144496982,50000,0.16000000000000003,0.13,0.13999999999999999,0.95,0.04000000000000001,0.010000000000000004,0,0.05000000000000001,0,-761.0483136491413,0.19395531727882295
42,0.250709169,147.5827396,3387.87162,1.027821257,4.507212553,1.176673396,8.741090992,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,-761.0491519,0.064727297
4,0.174931357,151.1517715,3401.57871,1.088814645,0.216261469,1.267468816,8.836203793,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,-761.050664,0.063709013
54,0.138567161,151.8667557,3493.853464,1.149555933,1.316303531,1.201910504,8.347989069,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,-761.0507953,0.028946807
10,0.249709391,153.0727152,3498.921836,1.024866699,2.599822196,1.218871167,5.578991434,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,-761.050834,0.045999631
39,0.214939145,153.1430165,3663.316102,1.03669902,3.469150684,1.152390152,10.1625463,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,-761.0510287,0.086731088
2,0.228227949,152.4526076,3571.215544,1.036114132,2.280055806,1.163450174,14.59433533,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,-761.0516946,0.049170033
NA,0.1425172835872373,149.50000000000006,3290.8060241624694,1.1426092343795584,5.1876786231284235,1.227627547484146,4.578812678176238,50000,0.16000000000000003,0.13,0.13999999999999999,0.95,0.04000000000000001,0.010000000000000004,0,0.05000000000000001,0,-761.0518564005356,0.14405200584399974
23,0.345553169,149.5943931,3519.64297,0.946033992,0.771434368,1.204750839,18.40164037,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,-761.0528457,0.033619283
17,0.165298476,153.4593451,3489.387498,1.125368199,1.197030019,1.230098354,3.287137981,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,-761.0530206,0.048957656
41,0.150042346,156.2480336,3694.905752,1.140471434,0.776207186,1.174325217,1.733355456,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,-761.0537724,0.072679144
37,0.15371679,151.8071281,3526.878709,1.122215245,0.070828889,1.220213926,10.23575009,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,-761.0545004,0.054903546
32,0.214313903,155.0859226,3754.4951,1.060268009,0.602677526,1.263430593,3.528476972,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,-761.0569676,0.044219124
25,0.142539489,148.6293809,3517.209154,1.140226971,4.702045677,1.197316117,7.337455735,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,-761.0576308,0.039761611
3,0.17212232,151.4720107,3476.258666,1.103202657,0.773449495,1.267674331,6.464110387,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,-761.0580355,0.023501516
22,0.123601427,154.8059889,3637.501591,1.161831377,4.473280027,1.166773243,8.784185688,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,-761.0596588,0.07978433
10,0.129219441,155.3511157,3694.992734,1.149815665,4.966709376,1.244827424,8.780345168,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,-761.0603897,0.098689561
NA,0.18384457560977854,146.99999999999997,3252.174739900686,1.0923987150240149,3.0541734935795453,1.2190332521093166,8.654279280891062,50000,0.16000000000000003,0.13,0.13999999999999999,0.95,0.04000000000000001,0.010000000000000004,0,0.05000000000000001,0,-761.06076792865,0.07242202411764609
54,0.182359491,156.1502896,3538.365943,1.085325255,0.348160476,1.1694916,6.051777516,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,-761.0616505,0.057487206
25,0.108066271,151.4673945,3523.43213,1.204444649,1.04886499,1.210711189,2.687368516,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,-761.0622535,0.043427571
14,0.245761981,154.4886607,3665.246075,1.031254939,1.97696556,1.188946836,5.369214037,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,-761.0624644,0.054590066
44,0.251587701,158.6014085,3863.964475,1.028564455,0.063375106,1.177151102,5.664197905,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,-761.0633032,0.069837785
10,0.198034649,154.8769846,3703.34195,1.057534529,4.891876376,1.205688962,8.338711393,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,-761.0633492,0.046110651
26,0.160589872,154.2923976,3710.561418,1.123110971,0.359436635,1.123641239,4.514134223,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,-761.0651773,0.050671297
46,0.265870217,149.9954951,3508.583815,1.016311705,1.772137633,1.192615087,5.664134871,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,-761.0656905,0.036748146
21,0.151518229,151.6852365,3456.349557,1.110021897,6.903493492,1.227223539,8.759903273,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,-761.0657261,0.049846303
33,0.361515765,152.1459803,3572.973384,0.942370785,1.06151644,1.202576553,11.32907058,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,-761.0660381,0.056798266
4,0.151672998,153.2320856,3677.399024,1.120666279,0.228188077,1.21325443,8.156183349,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,-761.0661179,0.031875055
31,0.130734368,149.8038936,3388.270147,1.155739238,3.422192076,1.200975107,6.234873183,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,-761.0663735,0.042111827
14,0.218198582,155.0150521,3667.687859,1.05789352,0.987567708,1.155432524,5.889949164,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,-761.0671648,0.041834409
21,0.127953015,147.0761654,3226.028272,1.172102868,1.283974533,1.220801861,5.09145522,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,-761.0675924,0.042529039
