,b0,alpha,iota,sigmaSE,br,N,mu_EI,mu_IR,rho_Y,S_0,E_0,I_0,R_0,eta,od_Y,rho_V,sd_V,loglik,loglik.se
13,0.167851101,1.09589041,1.151362861,1.11299482,8.045426307,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.8271704,0.014699669
14,0.123956241,1.16692096,0.807191285,1.138414561,6.469053152,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.76831,0.021652248
15,0.165020378,1.096203696,0.880406413,1.136859522,10.20034559,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.8151183,0.022461544
16,0.13769516,1.135221142,0.56404302,1.125132254,9.395365931,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.7647428,0.017793889
17,0.158941286,1.107093561,0.586553116,1.122832892,8.209772684,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.7815419,0.012398129
18,0.146690163,1.120215393,0.235466979,1.141695856,9.588091172,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.7453695,0.017769499
19,0.146425134,1.129898156,0.764256142,1.14712733,6.912312799,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.7667448,0.019663456
20,0.175037311,1.091259583,0.408349422,1.141811622,8.967908179,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.8227429,0.015861897
21,0.121386412,1.163387652,0.758105743,1.145774499,6.860681615,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.7806206,0.020607511
22,0.139676892,1.135891085,0.323057591,1.120771819,8.358203119,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.7532168,0.019803864
23,0.161803283,1.104084282,0.966262492,1.132850194,8.429305709,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.8142925,0.017690246
